termCode,termExtendedName,termScopeNote
A000J,Grains and grain-based products,"The category covers all cereals and cereal-like grains in all their forms, including derivatives and cereal-based products. So, this category contains the raw commodities as well as the primary derivatives of them, like flours, semolina, germ and bran. Moreover, products mainly obtained from cereals and cereal-like grains are included, regardless if they are simple composites, like bread, breakfast cereals and pasta, or complex composites, like filled fine bakery products. The latter are included because of their perceived nature according to tradition.£https://en.wikipedia.org/wiki/Cereal£https://www.google.co.uk/search?tbm=isch&q=Grains+grain+based+products"
A000K,Cereals and cereal primary derivatives,"The group includes any type of Cereals and cereal-like grains, milling products and other primary derivatives. This group is mainly intended to organise information and not for coding because it collects raw commodities and derivatives in one group."
A00CV,Breakfast cereals,The group includes any type of breakfast cereals (All cereal-based derivatives or products intended to be consumed mostly at breakfast). The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.
A00FJ,Vegetables and vegetable products,"The category covers all raw vegetables and their derivatives, with the exclusion of starchy roots/tubers, legumes (as seeds), nuts, oilseeds and spices. Fruit, though of vegetable origin, is not considered as vegetable. Same for Cocoa, coffee, tea and other vegetable materials for infusions."
A00FK,Brassica vegetables (excluding brassica roots and brassica baby leaf crops),"The group includes any type of Brassica vegetables (excluding brassica roots and brassica baby leaf crops) as defined in the pesticide regulation. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation."
A00ZR,"Starchy roots or tubers and products thereof, sugar plants",The category covers potatoes and other starchy roots and tubers and their products. Sugar plants are also included
A011B,Starchy root and tuber products,"The group includes any type of Starchy root and tuber products. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A011X,"Legumes, nuts, oilseeds and spices","The category covers legumes in the form of seeds (not as green, with pods), nuts, oil seeds and oilfruits and all spices."
A01AY,"Processed legumes, nuts, oilseeds and spices","The group includes any type of Processed legumes, nuts, oilseeds and spices. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A01BS,Fruit and fruit products,The category covers the different types of fruit used as food and their derivatives.
A01ML,Processed fruit products,"The group includes any type of Processed fruit products. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A01QD,Other processed fruit products (excluding beverages),"The group includes any type of Other processed fruit products (excluding beverages). The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
