ENFOODNAME,ENFOODNAME_SIMPLE,FACETS,BASETERM_NAME,SCIENTIFIC_NAME,COMMON_NAME
Live Fishes,Live fishes,A0VCN#F02.A0EJV,Ladder klipfish (as animal),Clinoporus biporosus,
LIVE FISHES,Live fishes,A09VF#F02.A0EJV,Parore (as animal),Girella tricuspidata,Sea Chub
Live Fishes,Live fishes,A0M7F#F02.A0EJV,Stout moray (as animal),Muraena robusta,
Live Fishes,Live fishes,A0XTX#F02.A0EJV,Achiroides (generic) (as animal),Achiroides spp.,
live flowering vegetables,Live flowering vegetables,A0E1R#F02.A0EKK,Choi sum (as plant),Brassica rapa var. parachinensis (Lour.) Hanelt,
Ripened cheese,"Ripened cheese, Soft, Milk, Ripening, Cheesemaking, FA-01.7.2 Ripened cheese",A030X#F02.A06BN$F10.A0CJQ$F27.A02LT$F28.A0C6F$F28.A0C6E$F33.A0C5F,"Cheese, pont l'eveque",,
LIVE PLANTS,Live plants,A157A#F02.A0BA0,Nerium oleander L. (as plant),Nerium oleander L.,
Live fishes,Live fishes,A0T3Y#F02.A0EJV,Pleuroscopus (generic) (as animal),Pleuroscopus spp.,
live fishes,Live fishes,A0K3E#F02.A0EJV,White amur bream (as animal),Parabramis pekinensis,Brème de Pékin$Brema de Pekín
Live fishes,Live fishes,A0GVT#F02.A0EJV,Thai river sprat (as animal),Clupeichthys aesarnensis,
Live Fishes,Live fishes,A0VYY#F02.A0EJV,Longspine thornyhead (as animal),Sebastolobus altivelis,
LIVE FISHES,Live fishes,A09M1#F02.A0EJV,Sharpchin flyingfish (as animal),Fodiator acutus,Sharpchin Flying Fish
Live fishes,Live fishes,A0M6R#F02.A0EJV,Undulated moray (as animal),Gymnothorax undulatus,
LIVE NUTS AND SEED PLANTS,Live nuts and seed plants,A05RL#F02.A0EKG,Pine (as plant),Pinaceae$Pinus,
Neither water- nor dairy- based spoonable dessert,"Neither water- nor dairy- based spoonable dessert, Grains and grain-based products, FA-16. Desserts excluding products covered in categories 1, 3 and 4",A16EQ#F02.A16FG$F04.A000J$F33.A0C18,Puddings based on cereal products and/or nuts/fruits and similar,,Christmas pudding$Plum pudding$Bread pudding
"Pigeon, Pigeon fresh meat, Mammals and birds meat, excluding meat preparations as defined by Regulation N0 853/2004, FA-08.1 Fresh meat","Pigeon, Mammals and birds meat, Pigeon fresh meat, FA-08.1 Fresh meat, excluding meat preparations as defined by Regulation N0 853/2004",A01TA#F01.A058H$F02.A0BYZ$F27.A01TA$F33.A0C3M,Pigeon fresh meat,Columbidae,
live molluscs,Live molluscs,A124J#F02.A0EJR,Viet Nam cuttlefish (as animal),Sepia vietnamica,Seiche vietnamienne$Sepia vietnamita
LIVE FISHES,Live fishes,A04XD#F02.A0EJV,Nile perch (as animal),Lates niloticus,Perche du Nil$Perca del Nilo$Nile perch (diadromous)
Cereals and similar with cereal with Sorghum and similar- with FA-06.1 Whole with broken with or flaked grain,"Cereals and similar, Grains, Sorghum and similar-, FA-06.1 Whole, broken, or flaked grain",A0D9Q#F01.A058Z$F02.A066Q$F27.A0D9Q$F33.A0C4A,Sorghum and similar-,,
live fishes,Live fishes,A0XDX#F02.A0EJV,Cyclopteropsis (generic) (as animal),Cyclopteropsis spp.,
live fishes,Live fishes,A0XLM#F02.A0EJV,Abyssocottus elochini (as animal),Abyssocottus elochini,
live plants,Live plants,A144R#F02.A0BA0,Clinopodium vulgare L. (as plant),Clinopodium vulgare L.,
LIVE VEGETABLES FOR INFUSIONS,Live vegetables for infusions,A066G#F02.A0EKC,Ginseng (as plant),Panax ginseng C.A. Mey,
LIVE FISHES,Live fishes,A0XSM#F02.A0EJV,Colistium guntheri (as animal),Colistium guntheri,
Live Birds,Live birds,A187Y#F02.A0EJX,Ibises and Spoonbills (as animal),Threskiornithidae (family),
LIVE FISHES,Live fishes,A09TT#F02.A0EJV,Minstrel sweetlips (as animal),Plectorhinchus schotaf,Diagramme ménestrel
