ENFOODNAME,ENFOODNAME_SIMPLE,FACETS,BASETERM_NAME,SCIENTIFIC_NAME,COMMON_NAME
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live molluscs (as part-nature) (This nature refers to live molluscs)",part: Live molluscs (as part-nature),A12ZZ#F02.A0EJR,Pseudostichopus peripatus (as animal),Pseudostichopus peripatus,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A07Z6#F02.A0EJV,Prussian carp (as animal),Carassius gibelio,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fruit plants (as part-nature) (This nature refers to live fruit plants)",part: Live fruit plants (as part-nature),A060K#F02.A0EKF,Plumcot (as plant),Prunus domestica x prunus armeniaca,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0XKM#F02.A0EJV,Parabembras (generic) (as animal),Parabembras spp.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live plants (as part-nature) (The facet descriptor refers to the entire plant including all its parts)",part: Live plants (as part-nature),A14ZG#F02.A0BA0,Laser trilobum (L.) Borkh. (as plant),Laser trilobum (L.) Borkh.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A09FM#F02.A0EJV,Dungat grouper (as animal),Epinephelus goreensis,Mérou de Gorée$Mero de Gorea
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Ripened cheese (as part-nature) (Cheese that have been subject to more or less long ripening after being produced) | qual (This facet provides some principal claims related to important nutrients-ingredients, like fat, sugar etc. It is not intended to include health claims or similar. The present guidance provides a limited list, to be eventually improved during the evolution of the system. More than one descriptor can be applied to each entry, provided they are not contradicting each other.): Hard (Used to qualify the texture of a food with respect to other types of the same food but having softer texture. Being a relative concept it is quite arbitrary and may include also the semi-. qualificator. The concept is pre-defined for cheeses based on international standards) | process (This facet allows recording different characteristics of the food: preservation treatments a food item underwent, technological steps or treatments applied while producing a food item, the way a food item has been heat treated before consumption and the way a food item has been prepared for final consumption (particularly needed for consumption surveys and includes preparation (like battering or breading) as well as heat treatment steps). More (none contradicting) descriptors can be applied to each entry.): Ripening (Process combining fermentation, maturation (particularly by enziymatic action) and progressive partial drying) | process (This facet allows recording different characteristics of the food: preservation treatments a food item underwent, technological steps or treatments applied while producing a food item, the way a food item has been heat treated before consumption and the way a food item has been prepared for final consumption (particularly needed for consumption surveys and includes preparation (like battering or breading) as well as heat treatment steps). More (none contradicting) descriptors can be applied to each entry.): Cheesemaking (The process to produce Cheese, including all different variants and types.) | legis (This facet allows recording the food additives classes as reported in the legislation in order. Only one descriptor from this facet can be added to each entry.): FA-01.7.2 Ripened cheese (Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008))",part: Ripened cheese (as part-nature) | qual: Hard | process: Ripening | process: Cheesemaking | legis: FA-01.7.2 Ripened cheese,A02ZP#F02.A06BN$F10.A0CJP$F27.A02LT$F28.A0C6F$F28.A0C6E$F33.A0C5F,"Cheese, formai de mut",,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Refined dairy fat (butter oil) (as part-nature) (Pure dairy fat after almost total separation of other milk components and water) | process (This facet allows recording different characteristics of the food: preservation treatments a food item underwent, technological steps or treatments applied while producing a food item, the way a food item has been heat treated before consumption and the way a food item has been prepared for final consumption (particularly needed for consumption surveys and includes preparation (like battering or breading) as well as heat treatment steps). More (none contradicting) descriptors can be applied to each entry.): Refining (Complete or partial removal of impurities or unwanted components by chemical/-physical treatment.) | legis (This facet allows recording the food additives classes as reported in the legislation in order. Only one descriptor from this facet can be added to each entry.): FA-02.2.1 Butter and concentrated butter and butter oil and anhydrous milkfat (Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008))",part: Refined dairy fat (butter oil) (as part-nature) | process: Refining | legis: FA-02.2.1 Butter and concentrated butter and butter oil and anhydrous milkfat,A038R#F02.A06BD$F27.A02LT$F28.A0BZT$F33.A0C56,Dairy fats,,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live insects and arachnids (as part-nature) (This nature refers to live insects and arachnids)",part: Live insects and arachnids (as part-nature),A0CMR#F02.A0EJP,Chrysopidae (as animal),Chrysopidae,Green lacewings
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A08A8#F02.A0EJV,Tarpon snook (as animal),Centropomus pectinatus,
