ENFOODNAME,FACETS,BASETERM_NAME,SCIENTIFIC_NAME,COMMON_NAME
"Live animal of the taxonomic species Pseudostichopus peripatus, within the Family Synallactidae. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Pseudostichopus peripatus£https://en.wikipedia.org/wiki/Aspidochirotida",A12ZZ#F02.A0EJR,Pseudostichopus peripatus (as animal),Pseudostichopus peripatus,
"Live animal of the taxonomic species Carassius gibelio, within the Family Cyprinidae. The organisms are commonly known as Prussian carp. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Carassius-gibelio.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Carassius gibelio",A07Z6#F02.A0EJV,Prussian carp (as animal),Carassius gibelio,
Plumcot as living plant including all members of the taxonomic hybrid group Prunus domestica x prunus armeniaca. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Plumcot,A060K#F02.A0EKF,Plumcot (as plant),Prunus domestica x prunus armeniaca,
"Live animal of the taxonomic genus Parabembras spp., within the Family Bembridae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Parabembras£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Parabembras",A0XKM#F02.A0EJV,Parabembras (generic) (as animal),Parabembras spp.,
Live plant organism of the taxonomic group Laser trilobum (L.) Borkh. The group is relevant for the list of Botanicals. The plant is a member of the family Apiaceae. The part considered is by default the whole living organism.£http://www.worldfloraonline.org/taxon/wfo-0000364303,A14ZG#F02.A0BA0,Laser trilobum (L.) Borkh. (as plant),Laser trilobum (L.) Borkh.,
"Live animal of the taxonomic species Epinephelus goreensis, within the Family Serranidae. The organisms are commonly known as Dungat grouper or Mérou de Gorée or Mero de Gorea. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Epinephelus-goreensis.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Epinephelus goreensis",A09FM#F02.A0EJV,Dungat grouper (as animal),Epinephelus goreensis,Mérou de Gorée$Mero de Gorea
"The group includes any type of formai de mut cheese, a type of extra hard cheese. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/formai_de_mut£https://www.google.co.uk/search?tbm=isch&q=Cheese, formai de mut",A02ZP#F02.A06BN$F10.A0CJP$F27.A02LT$F28.A0C6F$F28.A0C6E$F33.A0C5F,"Cheese, formai de mut",,
The group includes any type of Dairy fats. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/Butterfat£https://www.google.co.uk/search?tbm=isch&q=Dairy fats,A038R#F02.A06BD$F27.A02LT$F28.A0BZT$F33.A0C56,Dairy fats,,
Live animal of the taxonomic family Chrysopidae. The organisms are commonly known as Green lacewings. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Chrysopidae,A0CMR#F02.A0EJP,Chrysopidae (as animal),Chrysopidae,Green lacewings
Beverages obtained from beer with addition of other ingredients or removal of alcohol,A0ENJ,Beer-like beverages (as part-nature),,
"Live animal of the taxonomic species Centropomus pectinatus, within the Family Centropomidae. The organisms are commonly known as Tarpon snook. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Centropomus-pectinatus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Centropomus pectinatus",A08A8#F02.A0EJV,Tarpon snook (as animal),Centropomus pectinatus,
