FACETS,BASETERM_NAME,ENFOODNAME
A00FN,Broccoli,Βroccoli
A00CQ,Waffles,"WAFFLES N.S.-FACETS_DESC: FOOD PRODUCTION: CATERING, FAT USED KNOWN$TYPE OF FAT USED: FAT USED KNOWN"
A00EM,Processed mixed cereal-based flakes,ANONYMOUS BRINTA-FACETS_DESC: FLAVOURED/ADDED COMPONENT: FRUITS
A005Q,Multigrain (not only rye-wheat) bread and rolls,WALDKORN BREAD
A042K,Prepared nut salad,WALDORF SALAD PURCHASED
A002C,Cereal bran,ALL BRAN TYPE CEREAL ANONYMOUS FIBRE ONLY
A028A,Tilapias and similar,Tilapia
A044E,Vegetables-based cooked sauce,TIKKA MASALA SAUCE
A00ED,Wheat bran rolled flakes,"ALL BRAN TYPE CEREAL, E.G. ANONYMOUS BRAN,  NOT ANONYMOUS,  ANONYMOUS, ALPEN CRUNCHY BRAN"
A03TK,Almond drink,Almond drink ANONYMOUS and similar
A00EY,Cereal bars,ALPEN NUTTY CRUNCH  ANONYMOUS
A03TV,Soya yoghurt,ANONYMOUS PLAIN SOYA YOGURT FORTIFIED
A03TJ,Soya drink,ANONYMOUS SOYA LIGHT (MILK ALTERNATIVE)
A00YQ,Thyme,"Thyme, fresh"
A0C68,Spoonable desserts and ice creams (generic),Tiramisu with strawberries
A02PV,Dairy desserts spoonable,TIRAMISU
A017Q,"Thyme, dry","THYME,DRIED"
A035H,Foamed sugar products (marshmallows),"Zephir, industry-made"
A02XQ,"Cheese, tilsit",TILSIT 35% FAT (ANONYMOUS)<
A044C,Tomato-containing cooked sauces,TINNED TOMATO SAUCE
A04NS,Other desserts spoonable,TIPTOP DESSERT TOPPING
A03RH,Ready-to-eat dairy-based meal for children,"Babyfood, cottage cheese, creamed, fruit (strawberry, apricot), FruchtZwerge, ANONYMOUS"
A02NH,"Yoghurt, cow milk, flavoured",ZABAIONE FLAVOURED YOGHURT
A009Z,"Biscuits, chocolate",ZANDKOEKJE MET CHOCOLADE
A03QE,"Infant formulae, liquid","Baby milk ANONYMOUS FM 85 (prepared with human milk - 5g powder/100ml), ANONYMOUS"
A03RA,"Biscuits, rusks and cookies for children","ANONYMOUS, BIO, baby food, ANONYMOUS"
A034X,Hard candies,"ANONYMOUS candy, orange flavour, ANONYMOUS"
A035F,"Dragée, sugar coated",ANONYMOUS DRAGEE
A033K,"Honey, monofloral",THYME HONEY
A03LG,Herbal and other non-tea infusions,THYME INFUSION
A03RM,"Herbal infusions (beverages) specific for infants and young children, liquid","BABY TEA ""ANONYMOUS"""
A02TV,"Cheese, edam",ANONYMOUS CHEESE WHOLE
A022V,Tiroler speck,TIROLER BACON
A024V,Cured ripened raw sausages,TIROLER BERGWURZ
A03TE,Meat imitates,ANONYMOUS VEGETARIAN SAUSAGES
A03YJ,Egg based dishes,TO LET EGG SET
A004Y,"Wheat bread and rolls, white (refined flour)",TOAST (060301?) N.S.
A005E,"Wheat bread and rolls, brown or wholemeal","BAGUETTE, WHOLEMEAL, LANDGUT, ANONYMOUS"
